Country,YearsCode,YearsCodePro,WorkExp,DevType,Age,EdLevel,LanguageHaveWorkedWith,ConvertedCompYearly
United States of America,4.0,2.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python;SQL,121000.0
Finland,3.0,2.0,3.0,"Engineer, data",18-24 years old,Primary/elementary school,Python;SQL,83530.0
United States of America,18.0,10.0,10.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;TypeScript,116550.0
United States of America,15.0,7.0,7.0,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;C++;Julia;Python,200000.0
United States of America,12.0,8.0,4.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;SQL,146000.0
United States of America,12.0,8.0,8.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;HTML/CSS;JavaScript;Python;SQL;TypeScript,120000.0
United States of America,30.0,10.0,,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python;SQL,56000.0
Netherlands,17.0,10.0,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;TypeScript,72821.0
United States of America,10.0,8.0,20.0,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Lua;Python;R;SQL,125000.0
United States of America,6.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Julia;Python;R;SQL,70000.0
United States of America,40.0,25.0,27.0,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SQL,325000.0
Spain,16.0,9.0,,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;C++;Fortran;Java;Julia;MATLAB;Python;Visual Basic (.Net),38552.0
Other,11.0,7.0,8.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C#;Java;PHP;R;TypeScript,48000.0
United States of America,7.0,0.5,3.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python,66567.0
Other,3.0,2.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,17330.0
Germany,4.0,1.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,49261.0
Germany,20.0,15.0,15.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;Scala,118441.0
Australia,20.0,10.0,10.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;MATLAB;Python;R;SQL,112377.0
United States of America,25.0,17.0,,Data or business analyst,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,190000.0
United States of America,35.0,33.0,,"Engineer, data",65 years or older,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;SQL;VBA,105000.0
United States of America,15.0,6.0,15.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C;Fortran;Haskell;Java;Kotlin;Python;Rust,83000.0
Germany,4.0,1.0,1.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;JavaScript;MATLAB;PowerShell;Python;R,55687.0
United States of America,10.0,6.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Scala;SQL,130000.0
Italy,18.0,6.0,,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;Python,107090.0
United States of America,15.0,12.0,15.0,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,200000.0
United States of America,12.0,12.0,,Scientist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",R;SAS,140000.0
Germany,37.0,32.0,32.0,"Engineer, data",45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++,101735.0
Other,6.0,6.0,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",R;SQL,100000.0
India,8.0,0.5,0.0,Data scientist or machine learning specialist,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;Haskell;Julia;Lua;Python;Rust,24234.0
United States of America,4.0,3.0,3.0,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;R,100000.0
United States of America,30.0,3.0,3.0,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SQL;VBA,85000.0
United States of America,9.0,5.0,5.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,118000.0
United States of America,20.0,10.0,,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C;C++;Fortran;MATLAB;Objective-C;Python;SQL,130000.0
United States of America,17.0,11.0,15.0,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R,206000.0
United States of America,12.0,9.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,185000.0
United States of America,13.0,9.0,9.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;HTML/CSS;Java;R;SQL,224000.0
Switzerland,13.0,7.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;Python,275541.0
Germany,10.0,7.0,17.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,48190.0
United States of America,7.0,1.0,,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Crystal;HTML/CSS;JavaScript;PowerShell;Python;SQL,85000.0
Brazil,6.0,6.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;Go;Java;Python;Scala,43415.0
Other,20.0,20.0,24.0,Data or business analyst,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,50000.0
Other,11.0,7.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,68400.0
France,11.0,5.0,5.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;SQL,40694.0
United States of America,15.0,10.0,9.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;Groovy;Java;JavaScript;Python;Rust;SQL;TypeScript,370000.0
Other,5.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",GDScript;HTML/CSS;JavaScript;Python;R;SQL,10248.0
United Kingdom of Great Britain and Northern Ireland,6.0,5.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python;R,59710.0
United States of America,7.0,7.0,1.0,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python;SQL,101000.0
Other,6.0,6.0,,Data or business analyst,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python;SQL;TypeScript,13584.0
India,2.0,2.0,3.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL;VBA,16964.0
United States of America,31.0,27.0,27.0,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;PowerShell;SQL;Visual Basic (.Net),157000.0
United States of America,16.0,5.0,,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",R,125000.0
Germany,14.0,14.0,14.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Clojure;Go;Scala,187407.0
Other,20.0,13.0,13.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,63691.0
United States of America,18.0,10.0,,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;R,113000.0
United States of America,30.0,15.0,,"Engineer, data",35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python;SQL,215000.0
United States of America,43.0,40.0,40.0,"Engineer, data",55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Go;Haskell;Java;JavaScript;Python;Ruby;Rust;Scala;SQL;TypeScript,264900.0
France,20.0,10.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;HTML/CSS;JavaScript;Python,68430.0
Brazil,9.0,4.0,4.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SQL,42000.0
United States of America,10.0,7.0,11.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);PowerShell;R;SQL;Visual Basic (.Net),180000.0
Canada,15.0,7.0,7.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;Lua;MATLAB;Python;R;SQL,81787.0
United States of America,10.0,10.0,,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Lua;Python;TypeScript;VBA,155000.0
Brazil,5.0,3.0,3.0,"Engineer, data",18-24 years old,Some college/university study without earning a degree,Python,14607.0
Brazil,13.0,12.0,13.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;Go;Java;Kotlin;PowerShell;Python;SQL,71007.0
United States of America,7.0,6.0,5.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Python;R;SAS,120000.0
United States of America,5.0,3.0,9.0,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;JavaScript;PHP;Python;SQL,75000.0
United Kingdom of Great Britain and Northern Ireland,9.0,2.0,2.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL;Swift,47793.0
United States of America,20.0,10.0,29.0,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;R;Ruby;SQL,77000.0
United Kingdom of Great Britain and Northern Ireland,8.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Scala;TypeScript,99311.0
Denmark,10.0,5.0,5.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,102127.0
United States of America,15.0,15.0,15.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;Haskell;Python;R;Ruby;Scala;SQL,168000.0
United States of America,2.0,0.5,2.0,Data or business analyst,18-24 years old,"Associate degree (A.A., A.S., etc.)",HTML/CSS;JavaScript;Python;R;SQL,60000.0
Denmark,7.0,6.0,6.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;JavaScript;Julia;Python;R;Rust;SQL,132857.0
United States of America,20.0,15.0,25.0,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",R;SAS;SQL,182000.0
Germany,13.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",R;SAS;SQL,74963.0
United States of America,10.0,7.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Go;Java;Python;R;Rust;SQL,250000.0
Other,9.0,5.0,0.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;Julia;Swift,44550.0
United States of America,10.0,5.0,6.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Scala,130000.0
United States of America,22.0,10.0,22.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;Go;HTML/CSS;Java;Python;Scala;SQL,225000.0
United States of America,14.0,10.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C++;JavaScript;Perl;Python;SQL,315000.0
Other,14.0,8.0,9.0,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SAS;VBA,31985.0
United States of America,12.0,10.0,12.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;Java;Python;Ruby;Scala;SQL,285000.0
United States of America,40.0,30.0,40.0,Scientist,65 years or older,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Julia;MATLAB;Python;R;VBA,190000.0
United States of America,30.0,20.0,25.0,Scientist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C#;Python,280000.0
United Kingdom of Great Britain and Northern Ireland,10.0,6.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,105517.0
Canada,10.0,9.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL;TypeScript,137550.0
United States of America,30.0,15.0,,Data or business analyst,35-44 years old,Some college/university study without earning a degree,Python;SQL;VBA,105000.0
United States of America,12.0,3.0,3.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,103440.0
United States of America,6.0,5.0,,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SQL,131000.0
France,10.0,4.0,4.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Groovy;Java;Python;Scala;SQL,85672.0
United States of America,12.0,10.0,10.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Scala;SQL,140000.0
Germany,7.0,2.0,2.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Python,69608.0
Spain,7.0,7.0,,Data scientist or machine learning specialist,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",R;SQL,99593.0
Other,12.0,10.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,64254.0
United States of America,10.0,8.0,,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,180000.0
United States of America,23.0,22.0,23.0,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",PowerShell;SQL,145000.0
Other,8.0,4.0,,Data or business analyst,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;JavaScript;Python;R;SQL,64254.0
United States of America,10.0,8.0,8.0,"Engineer, data",25-34 years old,"Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells);Python;SQL,170000.0
Other,8.0,2.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,58348.0
Germany,10.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,83530.0
United States of America,10.0,10.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;Python;Scala;SQL,200000.0
United Kingdom of Great Britain and Northern Ireland,2.0,1.0,1.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,57724.0
United Kingdom of Great Britain and Northern Ireland,20.0,14.0,10.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,55862.0
United States of America,7.0,1.0,1.0,"Engineer, data",18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++;Java;JavaScript;Python;Rust;Scala;SQL,170000.0
Other,19.0,9.0,9.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;Java;JavaScript;SQL;VBA;Visual Basic (.Net),50332.0
United States of America,10.0,8.0,10.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,150000.0
Other,5.0,2.0,2.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Julia;Python;R;Rust,3151.0
United Kingdom of Great Britain and Northern Ireland,12.0,6.0,15.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);HTML/CSS;Python;R,89379.0
United States of America,28.0,16.0,22.0,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python,180000.0
Israel,10.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,133640.0
Other,34.0,30.0,31.0,Data scientist or machine learning specialist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Ada;Apex;Assembly;Bash/Shell (all shells);C;Cobol;Delphi;Fortran;Go;Java;Julia;Lisp;Prolog;Python;R;SAS;Scala;SQL,107090.0
